dan,datum,oku_10h,oku_14h,oku_24h,p_oku_zdravstvo,p_oku_dsoz,p_oku_dso,testi_14h,testi_24h,testi_novi_gov,oku_novi_gov,hospitalizirani,intenzivni,umrli,odpusceni,hospitalizirani_neur,intenzivni_neur,odpusceni_neur,lj,ce,nm,mb,kr,sg,po,ms,kp,za,ng,kk,0-15,16-29,30-49,50-59,60+,0,10,20,30,40,50,60,70,80,90
21,24.3.,,480,526,73,14,39,,16113,1058,36,72,14,4,37,78,14,47,188,97,63,49,34,21,18,17,13,8,6,7,,,,,,2,19,31,100,82,100,91,41,30,29
22,25.3.,,,571,,14,50,,17294,1243,50,98,17,5,42,81,16,51,204,106,66,53,40,23,21,17,13,10,7,7,,,,,,2,19,34,102,90,108,101,51,32,32
23,26.3.,,,632,90,15,79,,18369,1181,36,90,21,6,48,102,22,51,221,117,84,58,42,25,22,19,14,11,8,7,,,,,,2,19,35,105,97,114,111,60,43,46
24,27.3.,,,684,105,23,83,,19756,,,90,25,9,54,102,23,57,243,121,88,59,50,30,26,21,14,12,9,7,,,,,,2,19,37,107,106,125,121,68,48,51
25,28.3.,,,730,107,24,97,,20753,,,101,23,11,54,108,24,58,248,141,90,63,53,34,27,21,15,14,11,7,,,,,,2,19,44,110,109,131,130,72,54,59
26,29.3.,,,756,108,24,109,,21349,,,115,28,11,57,117,29,59,256,151,91,64,54,34,27,25,15,14,11,8,,,,,,2,20,44,111,111,135,133,76,61,63
27,30.3.,,,802,108,30,130,,22474,,,119,28,13,64,110,28,68,270,158,98,64,54,34,28,39,17,14,11,9,,,,,,2,20,45,116,114,143,139,81,69,73
28,31.3.,,,841,110,30,137,,23762,,,119,31,15,72,109,31,75,278,163,99,66,58,34,28,51,17,18,14,9,,,,,,2,21,47,119,120,151,146,87,73,75
29,1.4.,,,897,121,32,162,,24857,,,112,29,16,78,108,30,81,296,177,102,69,61,34,28,64,17,19,15,9,,,,,,3,21,50,125,123,158,152,90,88,87
30,2.4.,,,934,128,35,177,,25921,,,112,30,20,83,114,30,83,304,187,105,71,62,35,29,72,19,19,15,10,,,,,,3,21,51,128,126,163,159,94,95,94
31,3.4.,,,977,143,42,195,,27109,,,109,31,22,93,109,31,93,314,205,109,75,63,35,29,76,19,19,17,10,,,,,,3,21,58,134,131,168,163,98,102,99
